datetime,close,high,low,open,vol,amount,ma5,ma10,ma20,ma30,ma60
2017-03-31 09:35:00,10.77,10.81,10.71,10.71,4684.0,5042942.0,,,,,
2017-03-31 09:40:00,10.85,10.85,10.75,10.77,4446.0,4795364.0,,,,,
2017-03-31 09:45:00,10.88,10.95,10.85,10.85,7280.0,7932214.0,,,,,
2017-03-31 09:50:00,10.87,10.92,10.85,10.87,4356.0,4742880.0,,,,,
2017-03-31 09:55:00,11.03,11.05,10.88,10.88,17899.0,19657264.0,10.88,,,,
2017-03-31 10:00:00,10.98,11.03,10.96,11.03,9541.0,10484528.0,10.92,,,,
2017-03-31 10:05:00,10.93,11.0,10.93,11.0,3799.0,4166372.0,10.94,,,,
2017-03-31 10:10:00,10.97,10.97,10.92,10.93,4039.0,4423512.0,10.96,,,,
2017-03-31 10:15:00,11.14,11.15,10.95,10.96,28048.0,31031220.0,11.01,,,,
2017-03-31 10:20:00,11.07,11.14,11.06,11.13,19286.0,21415288.0,11.02,10.95,,,
2017-03-31 10:25:00,11.03,11.06,11.01,11.06,8378.0,9249992.0,11.03,10.97,,,
2017-03-31 10:30:00,11.06,11.12,11.03,11.03,8452.0,9370112.0,11.05,11.0,,,
2017-03-31 10:35:00,11.04,11.08,11.04,11.06,4497.0,4977992.0,11.07,11.01,,,
2017-03-31 10:40:00,11.08,11.09,11.05,11.05,3950.0,4372768.0,11.06,11.03,,,
2017-03-31 10:45:00,11.17,11.23,11.09,11.09,24269.0,27117312.0,11.08,11.05,,,
2017-03-31 10:50:00,11.17,11.19,11.14,11.15,11203.0,12511872.0,11.1,11.07,,,
2017-03-31 10:55:00,11.16,11.18,11.13,11.17,5552.0,6194752.0,11.12,11.09,,,
2017-03-31 11:00:00,11.13,11.17,11.13,11.17,3341.0,3725648.0,11.14,11.1,,,
2017-03-31 11:05:00,11.14,11.14,11.11,11.13,2591.0,2883136.0,11.15,11.1,,,
2017-03-31 11:10:00,11.13,11.15,11.12,11.14,2748.0,3059712.0,11.15,11.11,11.03,,
2017-03-31 11:15:00,11.08,11.13,11.06,11.13,4740.0,5256064.0,11.13,11.12,11.05,,
2017-03-31 11:20:00,11.11,11.12,11.08,11.08,3172.0,3523152.0,11.12,11.12,11.06,,
2017-03-31 11:25:00,11.06,11.11,11.06,11.1,2503.0,2774896.0,11.1,11.12,11.07,,
2017-03-31 11:30:00,11.05,11.07,11.04,11.06,2634.0,2911280.0,11.09,11.12,11.08,,
2017-03-31 13:05:00,11.1,11.1,11.04,11.04,2346.0,2599952.0,11.08,11.11,11.08,,
2017-03-31 13:10:00,11.1,11.1,11.08,11.09,1748.0,1938464.0,11.08,11.11,11.09,,
2017-03-31 13:15:00,11.12,11.13,11.09,11.09,3233.0,3591056.0,11.09,11.1,11.1,,
2017-03-31 13:20:00,11.11,11.13,11.11,11.13,2913.0,3240384.0,11.1,11.1,11.1,,
2017-03-31 13:25:00,11.04,11.11,11.04,11.11,3078.0,3408592.0,11.09,11.09,11.1,,
2017-03-31 13:30:00,11.06,11.07,11.02,11.04,3694.0,4076768.0,11.09,11.08,11.1,11.05,
2017-03-31 13:35:00,11.1,11.1,11.06,11.06,2267.0,2511392.0,11.09,11.08,11.1,11.06,
2017-03-31 13:40:00,11.09,11.1,11.08,11.09,3353.0,3717728.0,11.08,11.08,11.1,11.07,
2017-03-31 13:45:00,11.1,11.11,11.08,11.09,4622.0,5126560.0,11.08,11.09,11.11,11.07,
2017-03-31 13:50:00,11.13,11.13,11.1,11.11,2902.0,3226256.0,11.1,11.09,11.11,11.08,
2017-03-31 13:55:00,11.1,11.15,11.1,11.14,3344.0,3723376.0,11.1,11.09,11.1,11.08,
2017-03-31 14:00:00,11.09,11.12,11.09,11.1,2192.0,2434416.0,11.1,11.09,11.1,11.09,
2017-03-31 14:05:00,11.07,11.09,11.07,11.09,2850.0,3156640.0,11.1,11.09,11.1,11.09,
2017-03-31 14:10:00,11.09,11.1,11.07,11.08,2402.0,2663024.0,11.1,11.09,11.09,11.1,
2017-03-31 14:15:00,11.12,11.13,11.09,11.09,5057.0,5617968.0,11.09,11.09,11.09,11.1,
2017-03-31 14:20:00,11.18,11.28,11.12,11.13,30793.0,34527408.0,11.11,11.11,11.1,11.1,
2017-03-31 14:25:00,11.48,11.48,11.17,11.19,38313.0,43276128.0,11.19,11.14,11.12,11.12,
2017-03-31 14:30:00,11.4,11.51,11.37,11.48,38289.0,43829344.0,11.25,11.18,11.13,11.13,
2017-03-31 14:35:00,11.45,11.45,11.33,11.4,12805.0,14554016.0,11.33,11.21,11.15,11.14,
2017-03-31 14:40:00,11.62,11.8,11.43,11.43,46365.0,53939200.0,11.43,11.26,11.18,11.16,
2017-03-31 14:45:00,11.63,11.73,11.6,11.62,23886.0,27846496.0,11.52,11.31,11.2,11.17,
2017-03-31 14:50:00,11.59,11.64,11.58,11.63,17659.0,20500896.0,11.54,11.36,11.23,11.19,
2017-03-31 14:55:00,11.6,11.65,11.59,11.59,18943.0,22003584.0,11.58,11.42,11.25,11.2,
2017-03-31 15:00:00,11.48,11.61,11.47,11.61,26736.0,30831808.0,11.58,11.45,11.27,11.21,
2017-04-05 09:35:00,12.48,12.63,12.28,12.63,257796.0,323938496.0,11.76,11.59,11.34,11.26,
2017-04-05 09:40:00,12.62,12.63,12.46,12.5,137943.0,173904704.0,11.95,11.73,11.42,11.31,
2017-04-05 09:45:00,12.63,12.63,12.61,12.62,38010.0,47996672.0,12.16,11.85,11.5,11.36,
2017-04-05 09:50:00,12.63,12.63,12.63,12.63,5848.0,7386048.0,12.37,11.97,11.57,11.41,
2017-04-05 09:55:00,12.63,12.63,12.63,12.63,3165.0,3997376.0,12.6,12.09,11.65,11.46,
