datetime,close,high,low,open,vol,amount,ma5,ma10,ma20,ma30,ma60
2017-03-31 09:35:00,3212.63,3213.07,3206.22,3206.25,1294860.56,12948609024.0,,,,,
2017-03-31 09:40:00,3207.49,3213.43,3207.24,3213.04,1051992.8,10519930880.0,,,,,
2017-03-31 09:45:00,3212.79,3212.79,3206.65,3207.14,900638.4,9006387200.0,,,,,
2017-03-31 09:50:00,3218.35,3219.34,3212.99,3213.25,779265.36,7792656384.0,,,,,
2017-03-31 09:55:00,3218.27,3219.22,3217.31,3218.99,680457.92,6804582400.0,3213.91,,,,
2017-03-31 10:00:00,3216.01,3219.75,3215.7,3218.09,727212.56,7272128512.0,3214.58,,,,
2017-03-31 10:05:00,3214.79,3216.11,3214.56,3216.09,607052.32,6070525952.0,3216.04,,,,
2017-03-31 10:10:00,3210.47,3214.86,3210.19,3214.86,618306.12,6183063552.0,3215.58,,,,
2017-03-31 10:15:00,3210.02,3211.09,3210.02,3210.62,436087.28,4360876032.0,3213.91,,,,
2017-03-31 10:20:00,3208.11,3210.91,3208.11,3210.37,438530.6,4385308672.0,3211.88,3212.89,,,
2017-03-31 10:25:00,3207.3,3208.25,3205.63,3207.78,457891.56,4578918400.0,3210.14,3212.36,,,
2017-03-31 10:30:00,3211.89,3212.6,3208.0,3208.02,419878.2,4198785024.0,3209.56,3212.8,,,
2017-03-31 10:35:00,3212.6,3213.24,3211.68,3211.94,379957.76,3799580672.0,3209.98,3212.78,,,
2017-03-31 10:40:00,3213.83,3214.84,3212.35,3213.13,404750.04,4047503360.0,3210.75,3212.33,,,
2017-03-31 10:45:00,3219.11,3219.7,3213.75,3213.75,430405.76,4304060416.0,3212.95,3212.41,,,
2017-03-31 10:50:00,3218.88,3220.18,3218.66,3219.38,343101.92,3431022592.0,3215.26,3212.7,,,
2017-03-31 10:55:00,3217.84,3219.04,3217.74,3218.65,322431.9,3224322048.0,3216.45,3213.0,,,
2017-03-31 11:00:00,3220.31,3220.72,3217.86,3217.86,314534.0,3145342976.0,3217.99,3213.99,,,
2017-03-31 11:05:00,3223.28,3223.49,3220.06,3220.51,327605.16,3276054528.0,3219.88,3215.31,,,
2017-03-31 11:10:00,3223.97,3226.12,3223.21,3223.75,369522.0,3695222784.0,3220.86,3216.9,3214.9,,
2017-03-31 11:15:00,3225.25,3225.76,3223.2,3224.02,359676.08,3596763136.0,3222.13,3218.7,3215.53,,
2017-03-31 11:20:00,3223.84,3226.07,3223.47,3225.05,370516.48,3705167872.0,3223.33,3219.89,3216.35,,
2017-03-31 11:25:00,3221.08,3223.68,3220.69,3223.29,398375.04,3983753216.0,3223.48,3220.74,3216.76,,
2017-03-31 11:30:00,3219.4,3221.3,3219.27,3221.3,374489.6,3744899072.0,3222.71,3221.3,3216.81,,
2017-03-31 13:05:00,3221.37,3221.59,3219.4,3219.44,330309.36,3303096320.0,3222.19,3221.52,3216.97,,
2017-03-31 13:10:00,3220.59,3221.22,3219.67,3220.88,250490.56,2504908800.0,3221.26,3221.69,3217.2,,
2017-03-31 13:15:00,3220.94,3221.41,3219.66,3220.06,260991.9,2609922048.0,3220.68,3222.0,3217.5,,
2017-03-31 13:20:00,3221.43,3222.24,3220.83,3221.13,253700.2,2537005056.0,3220.75,3222.11,3218.05,,
2017-03-31 13:25:00,3218.31,3221.63,3217.38,3221.27,296127.44,2961276928.0,3220.53,3221.62,3218.47,,
2017-03-31 13:30:00,3215.57,3218.07,3214.95,3218.07,394603.44,3946037248.0,3219.37,3220.78,3218.84,3216.86,
2017-03-31 13:35:00,3217.06,3218.39,3215.41,3215.41,307319.32,3073196032.0,3218.66,3219.96,3219.33,3217.0,
2017-03-31 13:40:00,3216.68,3217.71,3215.71,3216.97,259158.52,2591588352.0,3217.81,3219.24,3219.57,3217.31,
2017-03-31 13:45:00,3218.55,3218.93,3215.79,3215.79,265887.46,2658877440.0,3217.23,3218.99,3219.86,3217.5,
2017-03-31 13:50:00,3221.03,3221.5,3219.16,3219.19,284928.94,2849292288.0,3217.78,3219.15,3220.22,3217.59,
2017-03-31 13:55:00,3219.62,3221.48,3219.62,3220.94,242897.44,2428977152.0,3218.59,3218.98,3220.25,3217.64,
2017-03-31 14:00:00,3217.02,3219.94,3217.02,3219.44,276420.72,2764210176.0,3218.58,3218.62,3220.16,3217.67,
2017-03-31 14:05:00,3217.81,3218.05,3216.43,3217.52,300759.16,3007594496.0,3218.81,3218.31,3220.16,3217.77,
2017-03-31 14:10:00,3216.06,3217.91,3216.06,3217.28,301142.56,3011428352.0,3218.31,3217.77,3219.94,3217.96,
2017-03-31 14:15:00,3216.55,3216.71,3215.59,3216.0,322328.72,3223289856.0,3217.41,3217.59,3219.61,3218.18,
2017-03-31 14:20:00,3210.39,3216.85,3210.29,3216.36,478674.64,4786749440.0,3215.57,3217.08,3218.93,3218.25,
2017-03-31 14:25:00,3212.04,3212.04,3208.79,3210.02,472029.32,4720295936.0,3214.57,3216.57,3218.27,3218.41,
2017-03-31 14:30:00,3214.9,3215.57,3211.64,3212.14,315368.8,3153690624.0,3213.99,3216.4,3217.82,3218.51,
2017-03-31 14:35:00,3217.39,3217.82,3215.06,3215.2,326590.2,3265904640.0,3214.25,3216.28,3217.64,3218.67,
2017-03-31 14:40:00,3218.28,3218.56,3216.9,3217.53,372915.96,3729162240.0,3214.6,3216.01,3217.58,3218.82,
2017-03-31 14:45:00,3219.63,3220.12,3217.23,3217.84,425680.56,4256808960.0,3216.45,3216.01,3217.49,3218.84,
2017-03-31 14:50:00,3222.26,3222.53,3219.68,3219.8,491010.2,4910104576.0,3218.49,3216.53,3217.58,3218.95,
2017-03-31 14:55:00,3221.24,3222.7,3221.06,3221.89,559832.8,5598330880.0,3219.76,3216.87,3217.59,3219.06,
2017-03-31 15:00:00,3222.51,3222.86,3220.96,3221.74,806893.68,8068939776.0,3220.78,3217.52,3217.64,3219.13,
2017-04-05 09:35:00,3237.26,3242.85,3235.66,3235.66,2553334.88,25533351936.0,3224.58,3219.59,3218.59,3219.6,
2017-04-05 09:40:00,3240.35,3242.23,3236.62,3237.47,1242995.84,12429961216.0,3228.72,3222.59,3219.83,3220.15,
2017-04-05 09:45:00,3235.3,3240.54,3235.03,3240.31,1035495.52,10354958336.0,3231.33,3224.91,3220.74,3220.48,
2017-04-05 09:50:00,3233.25,3236.01,3233.25,3236.01,881580.96,8815812608.0,3233.73,3226.75,3221.57,3220.8,
2017-04-05 09:55:00,3236.93,3236.93,3233.46,3233.96,804384.88,8043851776.0,3236.62,3228.7,3222.49,3221.32,
2017-04-05 10:00:00,3239.1,3239.19,3236.9,3237.14,716359.04,7163592704.0,3236.99,3230.78,3223.39,3221.98,
2017-04-05 10:05:00,3239.89,3239.89,3238.35,3238.98,629755.6,6297559040.0,3236.89,3232.81,3224.41,3222.6,
2017-04-05 10:10:00,3246.13,3246.13,3239.21,3239.77,664721.6,6647218176.0,3239.06,3235.2,3225.86,3223.45,
2017-04-05 10:15:00,3246.83,3248.01,3246.1,3246.1,641814.24,6418145280.0,3241.78,3237.75,3227.31,3224.31,
2017-04-05 10:20:00,3251.18,3251.49,3245.52,3246.6,631828.2,6318284800.0,3244.63,3240.62,3229.07,3225.3,
